"by","quote"
"Clarence Darrow","Kebebasan itu berasal dari manusia, tidak dari undang-undang atau institusi."
"Confucius","Hidup ini benar-benar sederhana, tapi kita malah bersikeras membuatnya menjadi rumit."
"Confucius","Kemana pun Anda pergi, pergilah dengan sepenuh hati."
"Confucius","Orang yang melakukan kesalahan dan tidak memperbaiki kesalahannya, melalakukan kesalahan yang lainnya."
"Confucius","Kebanggaan kita yang terbesar bukan karena tidak pernah gagal, tetapi bangkit kembali setiap kita jatuh."
"Cowper","Bunga yang tidak akan pernah layu dibumi adalah kebajikan."
"Cynthia Ozick","Untuk membayangkan hal yang tak dapat dibayangkan, dibutuhkan imajinasi yang luar biasa."
"D. J. Schwartz","Kesulitan apapun tidak tahan terhadap keuletan dan ketekunan. Tanpa keuletan, orang yang paling pintar dan paling berbakat sering gagal dalam hidupnya."
"Dale Carnegie","Satu-satunya cara agar kita memperoleh kasih sayang, adalah jangan menuntut agar kita dicintai, tetapi mulailah memberi kasih sayang kepada orang lain tanpa mengharapkan balasan."
"Dale Carnegie","Bila orang yang kuatir akan kekurangannya mau mensyukuri kekayaan yang mereka miliki, mereka akan berhenti kuatir."
"Dale Carnegie","Usahakan membentuk suatu hubungan ""kawat"" antara otak dan hati Anda."
"Dale Carnegie","Senyuman akan membuat kaya jiwa seseorang yang menerimanya, tanpa membuat miskin seseorang yang memberikannya."
"Dale Carnegie","Orang jarang sukses kecuali jika mereka senang dengan apa yang dikerjakannya."
"David Livingston","Saya akan pergi kemanapun selama itu arahnya ke depan."
"David V. Ambrose","Jika Anda punya kemauan untuk menang, Anda sudah mencapai separuh sukses. Jika Anda tidak punya kemauan untuk menang, Anda sudah mencapai separuh kegagalan."
"David Weinbaum","Rahasia menuju hidup kaya adalah mempunyai lebih banyak awal ketimbang akhir."
"Desbarolles","Kebenaran yang tidak dimengerti akan menjadi kesalahan."
"Descrates","Saya berpikir, karena itu saya ara."
"Djamaludin Abassy","Mental yang lemah lebih parah dari fisik yang lemah."
"Donald Kendall","Satu-satunya sukses yang diraih sebelum bekerja hanyalah ada di kamus saja."
"Dr. Frank Crane","Sahabat terbaik dan musuh terburuk kita adalah pikiran-pikiran kita. Pikiran dapat lebih baik dari seorang dokter atau seorang bankir atau seorang teman kepercayaan. Juga dapat lebih berbahaya dadi penjahat."
"Dr. Ronald Niednagel","Pergilah sejauh Anda bisa memandang, dan ketika Anda tiba disana, Anda akan memandang lebih jauh."
"Dr. Johnnetta Cole","Jika kamu ingin pergi cepat, pergilah sendiri. Jika kamu ingin pergi jauh, pergilah bersama-sama."
"Dwigt D. Esenhower","Seorang intelektual tidak akan pernah mengatakan lebih daripada apa yang diketahuinya."
"Earl Campbell","Persoalan-persoalan adalah harga yang Anda bayar untuk kemajuan."
"Earl Campbell","Persoalan-persoalan adalah harga yang harus Anda bayar untuk kemajuan."
"Edgar Alnsel","Hidup manusia penuh dengan bahaya, tetapi disitulah letak daya tariknya."
"Edmund Burke","Anda tidak dapat merencanakan masa yang akan datang berdasarkan masa lalu."
"Edward L. Curtis","Optimisme yang tidak disertai dengan usaha hanya merupakan pemikiran semata yang tidak menghasilkan buah."
"Edward de Bono","Jika Anda termasuk orang yang senang menunggu datangnya peluang, Anda adalah bagian dari manusia pada umumnya."
"Edy Murphy","Aku menghabiskan usia 30-an untuk memperbaiki segala kesalahanku di usia 20-an."
"Einstein","Berusaha untuk tidak menjadi manusia yang berhasil tapi berusahalah menjadi manusia yang berguna."
"Eisenhower","Mulai sekarang kita tidak usah membuang-buang waktu barang semenit pun untuk memikirkan orang-orang yang tidak kita sukai."
"Elanor Roosevelt","Ketika kita berhenti membuat kontribusi, kita mulai mati."
"Elbert Hubbad","Kesalahan terbesar yang dibuat manusia dalam kehidupannya adalah terus-menerus merasa takut bahwa mereka akan melakukan kesalahan."
"Elizabeth Browning","Janganlah menyebut orang tidak bahagia sebelum dia mati. Jangan menilai pekerjaan seseorang sebelum pekerjaannya berakhir."
"Emerson","Percaya pada diri sendiri adalah rahasia utama mencapai sukses."
"Engelbert Huperdinck","Anda harus waspada dengan kesenangan. Pastikan bahwa Anda menikmatinya dan bukan dikendalikannya."
"Erich Watson","Kehilangan kekayaan masih dapat dicari kembali, kehilangan kepercayaan sulit didapatkan kembali."
"Francois De La Roche","Bila tidak mampu menemukan kedamaian dalam diri sendiri, tak ada gunanya mencari di tempat lain."
"Francois De La Roche","Kita terbiasa menyembunyikan diri dari orang lain, sampai akhirnya kita sendiri tersembunyi dari diri kita."
"Francois Roche","Kita lebih sibuk menyakinkan orang lain bahwa kita bahagia ketimbang benar-benar merasakan bahagia itu sendiri."
"Frank Crane","Anda mungkin ditipu jika terlalu mempercayai, tetapi hidup Anda akan tersiksa jika tidak cukup mempercayai."
"Frank Giblin","Jadilah diri Anda sendiri. Siapa lagi yang bisa melakukannya lebih baik ketimbang diri Anda sendiri?."
"Franklin","Bila Anda ingin dicintai, cintailah dan bersikaplah sebagai orang yang patut dicintai."
"Fuller","Contoh yang baik adalah nasihat terbaik."
"Galileo Galilei","Rumput yang paling kuat tumbuhnya terdapat di atas tanah yang paling keras."
"Galileo Galilei","Kamu tidak dapat mengajari seseorang apa pun, kamu hanya bisa membantunyanya menemukan apa yang ada dalam dirinya sendiri."
"Gandhi","Mereka yang berjiwa lemah tak akan mampu memberi seuntai maaf tulus. Pemaaf sejati hanya melekat bagi mereka yang berjiwa tangguh."
"Gandhi","Kebahagiaan tergantung pada apa yang dapat Anda berikan, bukan pada apa yang Anda peroleh."
"Gen Collin Powel","Tak ada rahasia untuk menggapai sukses. Sukses itu dapat terjadi karena persiapan, kerja keras dan mau belajar dari kegagalan."
"George B. Shaw","Hidup bukanlah tentang menemukan dirimu sendiri. Hidup adalah tentang menciptakan dirimu sendiri."
"George III","Saya lebih baik kehilangan mahkota daripada melakukan tindakan yang menurut saya memalukan."
"George Santayana","Tidak ada obat untuk kelahiran dan kematian, kecuali menikmati yang ada di antara keduanya."
"George W.","Harapan tak pernah meninggalkan kita, kita yang meninggalkan harapan."
"Gilbert Chesterton","Agar bisa menjadi cukup cerdas untuk meraih semua uang yang diinginkan, kita harus cukup bodoh untuk menginginkannya."
"Gothe","Semua pengetahuan yang kumiliki bisa orang lain peroleh, tapi hatiku hanyalah untuk diriku sendiri."
"H. N. Spieghel","Betapapun tingginya burung terbang, toh dia harus mencari dan mendapatkan makanannya di bumi juga."
"H.L Hunt","Tetapkan apa yang Anda inginkan. Putuskan Anda ingin menukarnya dengan apa. Tentukan prioritas dan laksanakan."
"Hamka","Kecantikan yang abadi terletak pada keelokan adab dan ketinggian ilmu seseorang, bukan terletak pada wajah dan pakaiannya."
"Hamka","Kita harus yakin bahwa apa yang ditentukan oleh Tuhan untuk kita, itulah yang terbaik."
"Hamka","Berani menegakkan keadilan, walaupun mengenai diri sendiri, adalah puncak segala keberanian."
"Hamka","Hawa nafsu membawa kesesatan dan tidak berpedoman. Sementara akal menjadi pedoman menuju keutamaan. Hawa nafsu menyuruhmu berangan-angan, tetapi akal menyuruhmu menimbang."
"Harriet Braiker","Berusaha berhasil untuk memotivasi dirimu, tapi berusaha untuk selalu sempurna akan membuat tertekan."
"Helen Keller","Kita tidak akan belajar berani dan sabar jika di dunia ini hanya ada kegembiraan."
"Henri Ford","Kegagalan hanyalah kesempatan untuk memulai lagi dengan lebih pandai."
"Henry David Thoreau","Kebaikan adalah satu-satunya investasi yang tidak akan merugikan."
"Henry Ford","Idealis adalah orang yang membantu orang lain untuk makmur."
"Henry Ford","Berpikir itu adalah pekerjaan yang berat di antara segala jenis pekerjaan. Itulah sebabnya sedikit sekali orang yang senang melakukannya."
"Henry Longfellow","Kehidupan orang-orang besar mengingatkan kita bahwa kita bisa membuat kehidupan kita luhur."
"Henry Thoreau","Hidupku menjadi hiburanku dan tak hentinya memberikan kejutan. Hidupku bagaikan drama dengan begitu banyak babak tanpa adegan penutup."
"Hubert Humprey","Apa yang Anda lihat adalah apa yang Anda capai."
"Imam Al-Ghazali","Kebahagiaan terletak pada kemenangan memerangi hawa nafsu dan menahan keinginan yang berlebih-lebihan."
"Imam Ghazali","Caci maki dari seorang penjahat merupakan kehormatan bagi seorang yang jujur."
"J.C.F von Schiller","Orang yang terlalu banyak merenung akan meraih sedikit."
"Jack Hyles","Jangan gunakan orang-orang untuk membangun pekerjaan besar, gunakan pekerjaan Anda untuk membangun orang-orang besar."
"Jackson Brown","Kesalahaan terbesar yang mungkin Anda buat adalah mempercayai bahwa Anda bekerja untuk orang lain."
"Jacques Audiberti","Kepengecutan yang paling besar adalah ketika kita membuktikan kekuatan kita kepada kelemanan orang lain."
"James Thurber","Jangan lihat masa lalu dengan penyesalan, jangan pula lihat masa depan dengan ketakutan, tapi lihatlah sekitar Anda dengan penuh kesadaran."
"Janet Erskine","Jangan menunggu keadaan yang ideal. Jangan juga menunggu peluang-peluang terbaik. Keduanya tak akan pernah datang."
"Jeff Goins","Kebanyakan orang sukses yang saya kenal bukan orang yang sibuk, mereka orang yang focus."
"Jerry West","Anda tidak dapat melakukan banyak hal di hidup Anda, jika Anda hanya bekerja di hari-hari yang Anda rasakan baik."
"Jim Rohn","Tembok yang kita bangun untuk menghambat kesedihan, juga membuat kita tertutup dari kebahagiaan."
"Jim Rohn","Jika Anda tidak merancang hidup Anda sendiri, kemungkinan Anda akan menjalani rencana orang lain. Apa yang mereka rencanakan untuk Anda? Tidak banyak."
"Jim Ryan","Motivasi adalah sesuatu yang membuat Anda memulai. Kebiasaan adalah sesuatu yang membuat Anda melanjutkan."
"Jimi Hendrix","Ketika kekuatan akan cinta melebihi kecintaan akan kekuasaan, maka dunia pun menemukan kedamaian."
"Jimmy Dean","Aku tak bisa merubah arah angin, tapi aku bisa menyesuaikan layarku untuk tetap bisa mencapai tujuanku."
"Joan Baez","Kita tak bisa memilih bagaimana kita meninggal atau kapan. Kita hanya bisa memutuskan bagaimana kita hidup. Sekarang."
"John B. Gough","Jika Anda ingin sukses, Anda harus menciptakan peluang untuk diri sendiri."
"John C. Maxwell","Bekerja keras sekarang, merasakan hasilnya nanti; bermalas-malasan sekarang, merasakan akibatnya nanti."
"John C. Maxwell","Untuk menangani diri Anda sendiri, gunakan kepala Anda. Untuk menangani orang lain, gunakan hati Anda."
"John C. Maxwell","Bekerja keras sekarang, merasakannya nanti. Bermalas-malas sekarang, merasakan akibatnya nanti."
"John Craig","Tidak peduli seberapa banyak yang dapat Anda lakukan, tidak peduli seberapa menarik hati kepribadian Anda, Anda tidak dapat melangkah jauh jika Anda tidak dapat bekerja bersama orang lain."
"John D. Rockefeller","Orang termiskin adalah orang yang tidak mempunyai apa-apa kecuali uang."
"John Gardne","Jika kita melayani, maka hidup akan lebib berarti."
"John Gray","Sebenarnya semua kesulitan merupakan kesempatan bagi jiwa yang tumbuh."
"John Manson","Anda dilahirkan orisinal, jadi tidak perlu setengah mati meniru orang lain."
"John Maxwell","Seberapa jauh Anda gagal, tidak masalah, tetapi yang penting seberapa sering Anda bangkit kembali."
"John Q. Adams","Jika tindakan-tindakan Anda mengilhami orang lain untuk bermimpi lebih, belajar lebih, bekerja lebih, dan menjadi lebih baik, Anda adalah seorang pemimpin."
"John Ruskin","Saya yakin, ujian pertama bagi orang besar ialah kerendahan hati."
"John Ruskin","Penghargaan tertinggi untuk kerja keras seseorang bukanlah apa yang ia hasilkan, tapi bagaimana ia berkembang karenanya."
"John Ruskin","Penghargaan tertinggi untuk kerja keras seseorang bukanlah apa yang ia hasilkan, tetapi bagaimana ia berkembang karenanya."
"John Wolfgang","Perbuatan-perbuatan salah adalah biasa bagi manusia, tetapi perbuatan pura-pura itulah sebenarnya yang menimbulkan permusuhan dan pengkhianatan."
"Joseph Addison","Rahmat sering datang kepada kita dalam bentuk kesakitan, kehilangan dan kekecewaan; tetapi kalau kita sabar, kita segera akan melihat bentuk aslinya."
"Julia Roberts","Cinta sejati tidak datang kepadamu, tetapi harus datang dari dalam dirimu."
"Junius","Integritas seseorang diukur dengan tingkah lakunya bukan profesinya."
"Kahlil Gibran","Kita berdoa kalau kesusahan dan membutuhkan sesuatu, mestinya kita juga berdoa dalam kegembiraan besar dan saat rezeki melimpah."
"Kahlil Gibran","Untuk memahami hati dan pikiran seseorang, jangan lihat apa yang sudah dia capai, tapi lihat apa yang dia cita-citakan."
"Keri Russel","Kadang kala, justru keputusan kecil yang akan mampu merubah hidup kita selamanya."
"Knute Rockne","Apabila perjalanan menjadi sulit, orang ulet akan berjalan terus."
"Kong Hu Cu","Orang yang berbudi tinggi selalu berpedoman pada keadilan dan selalu berusaha menjalankan kewajiban."
"Konrad Adenauer","Kita semua hidup di bawah langit yang sama, tetapi tidak semua orang punya cakrawala yang sama."
"Kung Fu-Tze","Ia yang bijak akan merasa malu, jika kata-katanya lebih baik daripada tindakannya."
"Lao Tzu","Saat sadar bahwa kau tidak kekurangan suatu apa pun, seisi dunia menjadi milikku."
"Lao Tzu","Saat sadar bahwa kau tidak kekurangan suatu apa pun, seisi dunia menjadi milikmu."
"Les Brown","Terima tanggung jawab untuk diri Anda sendiri. Sadari bahwa hanya Anda sendiri, bukan orang lain, yang bisa membuat Anda pergi ke tempat yang Anda inginkan."
"Louis Gittner","Meski yang kita hadapi adalah jalan buntu, namun cinta akan membangun jalan layang di atasnya."
"Mahatma Gandhi","Kepuasan terletak pada usaha, bukan pada hasil. Berusaha dengan keras adalah kemenangan yang hakiki."
"Marcel Ayme","Kerendahan hati merupakan ruang tunggu bagi kesempurnaan."
"Maria Sharapova","Saya belajar banyak dari kekalahan. Dan kekalahan-kekalahan itu, membuat saya semakin tabah."
"Mark Cuban","Buatlah usaha Anda berhasil dengan satu-satunya cara: kerja keras!."
"Mark Twain","Kebaikan adalah bahasa yang dapat didengar si tuli dan bisa dilihat si buta."
"Marsha Sinetar","Lakukan apa yang Anda senangi, uang akan mengikuti."
"Martin Luther King","Tak ada waktu yang tidak tepat untuk melakukan sesuatu yang benar."
"Mary McCarthy","Kendatipun Anda berada di jalur yang tepat, Anda akan tetap terkejar jika hanya duduk-duduk saja disana."
"Maxim Gorky","Kebahagiaan selalu tampak kecil saat berada dalam genggaman. Tapi coba lepaskan dan Anda akan langsung tahu, betapa besar dan berhargannya kebahagiaan."
"Mery Hemingway","Latih diri Anda untuk tidak khawatir. Kekhawatiran tak pernah memperbaiki apa-apa."
"Michael Drury","Kematangan bukanlah suatu keadaan yang dicapai dengan usia. Dia merupakan perkembangan dari cinta, belajar, membaca dan berpikir hingga menghasilkan kemampuan."
"Michael Pritchard","Anda berhenti tertawa bukan karena bertambah tua. Sebaliknya Anda bertambah tua justru karena berhenti tertawa."
"Miguel de Cervantes","Pepatah adalah kalimat singkat berdasarkan pengalaman panjang."
"Miguel de Unamuno","Tidak dicintai orang lain memang menyedihkan, tapi lebih menyedihkan lagi kalau tidak bisa mencintai orang lain."
"N. H. Casson","Kemiskinan jiwa lebih mengerikan daripada kemiskinan jasmani atau materi."
"Natalie Portman","Anda belum bisa dibilang kaya sampai Anda memiliki sesuatu yang tidak dapat dibeli uang."
"Nelson Mandela","Pendidikan adalah senjata paling ampuh dimana kau dapat menggunakannya untuk merubah dunia."
"Norman Peale","Campakanlah jauh-jauh pikiran murung dan kesal itu, lalu bangkitkanlah."
"Nunse","Bukanlah yang kuat, tetapi yang uletlah yang menjadikan mereka manusia yang besar."
"O. S. Marden","Kemajuan adalah hasil dari memusatkan seluruh kekuatan jiwa dan pikiran pada cita-cita yang dituju."
"Oliver W. Holmes","Semakin lama kita hidup, semakin kita menemukan bahwa kita mirip dengan orang lain."
"Oprah Winfrey","Melakukan yang terbaik pada saat ini akan menempatkan Anda ke tempat terbaik pada saat berikutnya."
"Oscar Wilde","Jika seseorang menyatakan kebenaran, dia yakin; cepat atau lambat; akan mendapatkannya."
"Pablo Picasso","Bila semangat Anda menurun, lakukanlah sesuatu. Kalau Anda telah melakukan sesuatu keadaan tidak berubah, lakukanlah sesuatu yang berbeda."
"Paul Galvin","Jangan takut dengan kesalahan. Kebijaksanaan biasanya lahir dari kesalahan."
"Paul Harvey","Saya tidak pernah melihat suatu monumen didirikan bagi orang pesimis."
"Pepatah Cina","Beranilah menyadari kesalahan dan mulai lagi."
"Pepatah Cina","Benar jadi berani."
"Pepatah Cina","Orang yang bertanya, bodoh dalam 5 menit. Dan orang yang tidak bertanya akan tetap bodoh untuk selamanya."
"Pepatah Cina","Bila saya mendengar, saya akan lupa. Setelah melihat saya bisa mengerti. Dan setelah mengerjakan, barulah saya bisa memahami."
"Pepatah Cina","Orang yang tersenyum selalu lebih kuat dari orang yang marah."
"Pepatah Cina","Orang yang memindahkan gunung memulai dengan memindahkan batu-batu kecil."
"Pepatah Inggris","Orang yang mencari masalah akan selalu mendapatkannya."
"Pepatah Inggriss","Keterampilan dan keyakinan merupakan pasukan bersenjata yang tidak dapat dikalahkan."
"Pepatah Jepang","Sebatang anak panah mudah dipatahkan, tetapi tidak demikian dengan sepuluh anak panah yang disatukan."
"Pepatah Jepang","Visi tanpa aksi adalah mimpi di siang bolong. Aksi tanpa visi adalah mimpi buruk."
"Pepatah Jerman","Orang yang tak pernah mencicipi pahit tak akan tahu apa itu manis."
"Pepatah Latin","Dengan belajar Anda bisa mengajar. Dengan mengajar, Anda belajar."
"Pepatah Persia","Saya menangis karena tak punya sepatu, sampai saya melihat orang tak punya kaki."
"Pepatah Roma","Kesengsaraan menghasilkan ketekunan. Ketekunan menghasilkan watak, dan watak menghasilkan harapan."
"Pepatah Skotlandia","Bila kemauan siap, kaki menjadi ringan."
"Pepatah Spanyol","Mengenal diri sendiri adalah awal dari perbaikan diri."
"Pepatah Tibet","Jangan meremehkan raja yang picik, seperti halnya jangan meremehkan sungai yang kecil."
"Pepatah Tibet","Apabila seseorang mengajarkan sesuatu, dia sendiri harus melaksanakan ajaran itu."
"Peter Sinclair","Kehidupan yang hebat adalah kulminasi dari pemikiran-pemikiran hebat disertai dengan tindakan-tindakan hebat."
"Plato","Orang bijak berbicara karena mereka mempunyai sesuatu untuk dikatakan, orang bodoh berbicara karena mereka ingin mengatakan sesuatu."
"Plato","Orang bijak berbicara karena ia memiliki sesuatu untuk dikatakan. Orang bodoh berbicara karena ia atau dia harus mengatakan sesuatu."
"Plato","Berbuat tidak adil lebih memalukan daripada menderita ketidakadilan."
"Plato","Siapa yang tidak bisa memimpin dirinya sendiri, tidak akan bisa memimpin orang."
"Plautus","Kesabaran adalah obat terbaik untuk semua masalah."
"Plautus","Jauh lebih mudah memulai secara baik daripada mengakhiri secara baik."
"Pliny The Elder","Harapan adalah tiang yang menyangga dunia."
"R. A. Kartini","Kemenangan gemilang tidak diperoleh dari medan pertempuran saja, tetapi sering diperoleh dari hati."
"R. Browning","kita jatuh untuk bangun, berhenti untuk berjalan, dan tidur untuk bangun."
"R. W. Shephred","Kamu harus menghadapi depresi, sama seperti kamu menghadapi seekor harimau."
"R.H. Grant","Jika Anda mempekerjakan orang-orang yang lebih pintar dari Anda, Anda membuktikan Anda lebih pintar dari mereka."
"Rabbi Schachtel","Kebahagiaan bukanlah memiliki apa yang kita inginkan, melainkan menginginkan apa yang kita miliki."
"Ralph W. Emerson","Satu ons aksi jauh lebih berharga daripada satu ton teori."
"Ralph W. Emerson","Seseorang itu sukses besar jika dia sadar, kegagalan-kegagalannya adalah persiapan untuk kemenangan-kemenangannya."
"Ralph Waldo Emerson","Kedamaian tidak terdapat di dunia luar, melainkan terdapat dalam jiwa manusia itu sendiri."
"Ralph Waldo Emerson","Percayalah kepada orang lain, dan mereka akan tulus kepada Anda. Perlakukan mereka seperti orang besar dan mereka akan memperlihatkan dirinya sebagai orang besar."
"Rene Descartes","Tidak cukup hanya punya otak yang baik. Yang penting adalah menggunakannya secara baik."
"Richard Bach","Tanyakan pada diri sendiri rahasia sukses. Dengarkan jawaban Anda, dan lakukan."
"Richard C. Miller","Jika rumput tetangga lebih hijau, bersyukurlah Anda masih bisa berpijak di tanah untuk melihatnya."
"Robert Collier","Kesempatan Anda untuk sukses di setiap kondisi selalu dapat diukur oleh seberapa besar kepercayaan Anda pada diri sendiri."
"Robert F. Kennedy","Kemajuan merupakan kata-kata merdu, tetapi perubahanlah penggerakknya dan perubahan mempunyai banyak musuh."
"Robert Frost","Alasan mengapa kecemasan membunuh lebih banyak orang dibanding kerja adalah, lebih banyak orang cemas dibanding bekerja."
"Robert G. Ingersoll","Sedikit orang kaya yang memiliki harta. Kebanyakan harta yang memiliki mereka."
"Robert S. Lynd","Hanya ikan yang bodoh yang bisa dua kali kena pancing dengan umpan yang sama."
"Robert Von Hartman","Ambisi seperti air laut, semakin banyak orang meminumnya semakin orang menjadi haus."
"Robinsori","Cemas dan ketakutan adalah akibat kebodohan dan keraguan."
"Romand Rolland","Pahlawan adalah seseorang yang melakukan apa yang mampu dia lakukan."
"Roosevelt","Jika Anda ingin menjadi orang besar, janganlah suka beromong besar, kerjakanlah hal-hal yang kecil dahulu."
"Ruth P. Freedman","Perubahan terjadi ketika seseorang menjadi dirinya sendiri, bukan ketika ia mencoba menjadi orang lain."
"Salanter Lipkin","Perbaiki diri Anda, tetapi jangan jatuhkan orang lain."
"Satya Sai Baba","Dua hal yang harus dilupakan, kebaikan yang telah kita lakukan kepada orang lain dan kesalahan orang lain kepada kita."
"Scott Fitzgerald","Ingatlah, jika Anda menutup mulut sebenarnya Anda telah melakukan pilihan."
"Seneca","Hati manusia tidak akan pernah tenteram sebelum berdamai dengan diri sendiri."
"Seneca","Hidup berarti berjuang. Hidup nikmat tanpa badai topan adalah laksana laut yang mati."
"Shackespeare","Kesedihan hanya bisa ditanggulangi oleh orang yang mengalaminya sendiri."
"Shirley Briggs","Beranikan diri untuk menjadi dirimu sendiri, karena kita bisa melakukan hal itu lebih baik daripada orang lain."
"Soe Hok Gie","Lebih baik diasingkan daripada menyerah kepada kemunafikan."
"Soemantri Metodipuro","Langkah pertama untuk memilih keyakinan pada diri sendiri adalah mengenal diri kita sendiri."
"Sophocles","Bila seseorang kehilangan segala sumber kebahagiaan, dia tidak lagi hidup, tapi mayat yang bernafas."
"St. Jerome","Baik, lebih baik, terbaik. Jangan pernah berhenti sampai baik menjadi lebih baik, dan lebih baik menjadi terbaik."
"Stephen R. Covey","Motivasi adalah api dari dalam. Jika orang lain mencoba menyalakannya untuk Anda, kemungkinan apinya hanya menyala sebentar."
"Steve Jobs","Saya bangga, baik pada hal yang tidak kami lakukan maupun pada hal yang kami lakukan."
